,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
7283 ,11234 ,1 ,0 ,1126 ,97 ,1 ,2 ,510000 
7284 ,11234 ,1 ,0 ,1339 ,97 ,1 ,10 ,440000 
7285 ,11234 ,1 ,0 ,1372 ,92 ,1 ,10 ,485000 
7286 ,11234 ,1 ,0 ,1372 ,92 ,1 ,6 ,390000 
7287 ,11234 ,1 ,0 ,1372 ,92 ,1 ,10 ,525000 
7288 ,11234 ,1 ,0 ,1372 ,92 ,1 ,10 ,205000 
7289 ,11234 ,1 ,0 ,812 ,92 ,1 ,10 ,340000 
7290 ,11234 ,1 ,0 ,812 ,92 ,1 ,10 ,350000 
7291 ,11234 ,1 ,0 ,960 ,92 ,1 ,10 ,405000 
7292 ,11234 ,1 ,0 ,924 ,92 ,1 ,10 ,415000 
7293 ,11234 ,1 ,0 ,952 ,97 ,1 ,10 ,450000 
7294 ,11234 ,1 ,0 ,952 ,97 ,1 ,2 ,509574 
7295 ,11234 ,1 ,0 ,952 ,97 ,1 ,2 ,195000 
7296 ,11234 ,1 ,0 ,1288 ,97 ,1 ,2 ,389860 
7297 ,11234 ,1 ,0 ,1248 ,97 ,1 ,10 ,692390 
7298 ,11234 ,1 ,0 ,1248 ,97 ,1 ,10 ,556700 
7299 ,11234 ,1 ,0 ,1248 ,97 ,1 ,10 ,277000 
7300 ,11234 ,1 ,0 ,1237 ,92 ,1 ,10 ,535000 
7301 ,11234 ,1 ,0 ,1632 ,92 ,1 ,10 ,530000 
7302 ,11234 ,1 ,0 ,1216 ,97 ,1 ,10 ,487000 
7303 ,11234 ,1 ,0 ,1168 ,97 ,1 ,10 ,177000 
7304 ,11234 ,1 ,0 ,1472 ,97 ,1 ,2 ,590000 
7305 ,11234 ,1 ,0 ,1152 ,87 ,1 ,6 ,384800 
7306 ,11234 ,1 ,0 ,1248 ,92 ,1 ,2 ,490000 
7307 ,11234 ,1 ,0 ,1380 ,97 ,1 ,2 ,225100 
7308 ,11234 ,1 ,0 ,1352 ,97 ,1 ,10 ,435000 
7309 ,11234 ,1 ,0 ,1244 ,97 ,1 ,10 ,478000 
7310 ,11234 ,1 ,0 ,1792 ,87 ,1 ,6 ,510000 
7311 ,11234 ,1 ,0 ,1644 ,10 ,1 ,6 ,630000 
7312 ,11234 ,1 ,0 ,1390 ,87 ,1 ,10 ,455000 
7313 ,11234 ,1 ,0 ,1390 ,87 ,1 ,10 ,538000 
7314 ,11234 ,1 ,0 ,1390 ,87 ,1 ,10 ,340000 
7315 ,11234 ,1 ,0 ,1280 ,87 ,1 ,10 ,550000 
7316 ,11234 ,1 ,0 ,1232 ,92 ,1 ,10 ,442000 
7317 ,11234 ,1 ,0 ,1244 ,92 ,1 ,10 ,411000 
7318 ,11234 ,1 ,0 ,1276 ,92 ,1 ,10 ,461500 
7319 ,11234 ,1 ,0 ,1276 ,92 ,1 ,10 ,350000 
7320 ,11234 ,1 ,0 ,1526 ,77 ,1 ,10 ,490000 
7321 ,11234 ,1 ,0 ,1372 ,92 ,1 ,2 ,445000 
7322 ,11234 ,1 ,0 ,2070 ,52 ,1 ,3 ,890000 
7323 ,11234 ,1 ,0 ,1813 ,62 ,1 ,6 ,400000 
7324 ,11234 ,1 ,0 ,1296 ,57 ,1 ,6 ,455000 
